20000 30000
18036 10047 -2990
10607 3278 -10084
16281 17746 598
14422 4592 -7174
12808 4052 -3918
3791 7576 13848
10657 6708 -12108
9958 6632 -15474
1627 17831 -7118
12679 10637 -17800
6637 10909 3500
4654 8540 3194
8827 6979 18092
2139 5838 -3838
898 19792 10442
18697 10293 -18374
6206 10929 -18614
351 4816 -19612
16238 3988 -14650
13971 421 11960
1683 6966 2198
4756 609 -15068
3668 9359 -7210
7184 7928 10188
4332 1866 -7084
15266 9463 -6174
17431 1286 6720
3166 8449 -1756
5260 13883 -15654
14966 15706 -2108
2474 10708 10692
3670 10820 -15468
5069 1378 7854
3038 8884 6718
7767 11978 -11940
10921 191 9780
3093 1444 -14382
9507 6040 5046
18222 647 300
15225 7262 -1236
2969 9740 12002
14855 305 -948
6287 11863 13958
2966 4478 -9310
4209 18886 -10188
14720 5643 19212
4442 5361 13966
18938 6817 1590
3709 8799 994
3795 8742 -17496
1367 4140 16206
10855 16755 2104
16856 8445 4524
2997 10650 1578
65 4705 18254
4447 14427 7006
1276 14265 -6650
5246 19781 15606
5815 4263 -14480
9316 12581 7554
12533 1828 -10432
2703 4444 952
18374 12108 -4930
4402 13935 -11118
11786 10393 -13360
1414 944 -16286
12912 12304 -9008
17691 6706 -2348
6216 7583 4266
4511 10976 -15390
9665 3206 18196
12418 17619 13582
15024 10467 -6300
9934 6495 -6050
9075 7694 11574
5465 14762 -4722
17508 17460 -8636
10586 11495 -1756
3935 3948 3118
5119 5138 -9068
11373 10750 4120
9341 12093 -2904
10406 11918 8536
212 6065 -6762
10127 18571 6228
18042 7750 5498
1728 11261 -46
8736 14025 -16788
465 9783 7906
1405 11626 2306
165 16545 2254
15780 2431 4760
10183 11347 -18554
9081 9063 -8912
12249 14426 -7120
1662 1291 -1942
9698 1598 9956
13727 12825 -19080
6269 5180 4446
17347 6402 -15670
1082 15423 8110
8187 8807 17618
1330 6091 16222
7544 9344 -13850
17689 3205 -6488
4724 11217 -288
12048 760 -15440
1650 12088 -10068
1067 15778 -17654
3843 9048 -8136
1576 763 -804
4335 19616 3714
10980 12166 -16678
5491 13933 -12142
4085 15250 -18218
4693 3288 -7424
786 4057 5118
8827 6910 -7548
1290 1241 528
10666 10074 -6616
10148 4412 -10216
216 158 17654
11159 42 -14322
10163 1448 -7208
16250 12896 -13608
9678 9108 -13028
13437 5303 646
18001 17041 -310
3630 5094 800
8993 2054 -3212
9204 5542 -7752
12569 8581 -14714
1827 18201 -10996
19023 12038 -12878
3834 13101 -11590
6900 4732 2912
18636 11210 7834
12593 4477 -12416
2910 6990 -1184
2775 17889 4138
11391 16139 -16330
4306 10039 4346
1069 7573 2888
1827 4195 -13328
10395 5102 -11368
9007 3022 13528
9948 5008 7544
7008 13790 -1686
5047 831 -1828
11696 10906 -5066
1814 6190 10934
15605 5511 -15234
4653 1439 -10348
11942 11929 -5120
3527 8540 7772
18443 9047 -15694
18470 610 -16790
4709 2971 -7058
7242 2332 -2316
12420 3225 1762
11718 16588 -9298
17252 15857 -6270
975 7430 2702
6102 5750 3576
6747 72 14580
11219 13717 -16014
3760 10756 -11816
7693 11199 14064
18849 8873 -7314
7933 444 1712
14486 18025 4728
4000 2332 -13956
9145 10053 15418
895 6747 -10984
9319 11634 -5728
3123 16244 -2036
12490 3375 -6908
10439 5048 9130
18962 11168 -12562
15469 9982 -3774
3287 12340 -18468
7633 10290 16642
636 18677 15990
10906 19463 -9502
11620 8056 -7734
9566 15955 -19886
5421 461 -14998
6660 18916 -13674
8738 3378 18794
17334 9588 -1002
470 15199 8230
366 1465 10464
19874 19078 -11326
16800 12848 -4014
5958 16757 -12658
19058 4682 -6766
11065 12706 -8360
5312 204 19204
9197 12136 -2714
9116 2978 4612
12624 5115 4946
6160 4678 -15328
4719 4608 -9624
7782 4321 9232
10223 12712 2372
7170 4766 -1916
268 8458 1752
4662 19946 13962
11753 4704 1676
8597 4322 19190
8911 1115 -19226
11221 237 -14792
5578 14640 -16272
566 1694 -4138
9365 6756 -5632
2065 5106 -1470
12000 5984 -11222
5402 5411 -2086
11807 4407 -19546
13686 7943 -9930
3112 8231 1354
17049 1206 -19198
1435 3546 -4082
17576 16811 -16584
90 1164 -18806
19725 14107 -8234
6415 2377 -17812
5380 15355 -9664
6934 383 -2778
10316 18403 -16104
4200 13041 -8680
1273 17723 -5622
2032 7223 -4426
18178 10739 3006
11137 14890 -15074
2177 9801 406
1913 6830 10628
14099 2998 -3794
16598 117 7580
4868 17374 -8616
10448 14106 -17632
8848 5926 1134
8235 12407 7954
15471 7205 -15940
18920 16845 6916
759 598 2084
2808 12277 -15868
7633 13505 -19444
7290 15311 -1120
17 10402 -14262
15543 848 452
16760 57 17726
5646 2490 9336
3526 3386 5220
1649 6339 1626
5162 8358 -3560
10437 9815 -2250
6372 4876 -1220
11429 10555 -7980
19077 14784 18550
3435 5976 9680
16048 8529 -19620
12633 1367 5274
7323 5445 -1994
7994 8086 -12532
1452 5275 -14918
1925 7201 -10290
15304 2378 -17218
8433 13260 -14550
2826 8125 -18620
4189 9707 -12130
5847 15719 1766
18614 9428 626
12048 8026 -14720
17727 1709 -15068
565 3965 -4226
14473 18976 -16500
8653 11953 10458
4509 5343 17200
18771 13611 -2444
6763 16188 -16864
15002 17960 -6064
7373 7666 4720
418 2385 -11998
13485 11619 -14108
6613 16696 4778
6894 10804 2238
6219 18627 176
18461 19295 5304
3643 90 5494
7965 1124 568
12525 15953 -16416
12110 12197 -19006
805 4112 -12288
3256 7730 2462
3034 8501 -11658
6438 656 6530
7236 8469 19848
10386 18972 -18396
13652 5471 7160
10925 380 13416
13599 137 -8266
8728 15812 3662
11684 7293 9316
5140 6887 19376
77 9559 5918
10530 8630 -14648
6140 10638 -11218
5860 10276 16120
2094 12328 -7126
5053 15385 -11722
6927 6728 -3608
11304 14368 -7208
12975 4813 -17634
10391 148 -12708
333 3559 18254
11773 8601 4414
2495 552 17670
4460 19652 -13658
18595 9720 -5454
16088 9467 2750
1163 11612 948
13649 7930 -10744
5395 583 7666
3127 2045 -10000
1985 11990 -456
4638 3771 5586
11696 14373 -15878
4908 10716 -9400
16739 827 6994
3872 10578 18578
3772 5693 -4684
12999 7478 -5268
9610 10642 -10
13567 3577 7708
8454 3992 -4796
12226 9994 -9910
1374 2548 -4234
10444 11881 3950
4670 8847 -15364
18098 1967 3188
3572 6067 -9724
10991 1789 -17464
14460 6512 16600
16812 8434 -16646
17575 4617 -16220
47 10990 -13320
6705 6484 -8714
9814 4564 3000
10298 7682 -12250
10370 14923 12996
11051 8864 -14646
3023 260 17528
15117 15467 -18460
12919 12855 -19406
15727 4665 600
1888 14969 -16374
14398 1244 -19282
6850 456 -8790
5810 8428 -12174
420 16882 -13936
3266 16387 -18738
11464 1501 10760
10585 16702 2146
9653 8594 -3546
388 7954 15604
1866 19168 -5706
371 1137 -6734
4312 7862 -9360
7101 12555 -10630
8086 13117 -14518
19763 10648 -4136
18667 8953 2292
213 3594 11414
12075 3266 13458
18482 4508 -16396
12494 2571 1012
698 7955 -1712
2444 19224 13556
8101 10031 17480
8303 10925 -18944
6559 18589 4540
3849 6912 -10424
1563 8400 -8918
19514 15505 88
2711 17375 16568
8106 6258 -5206
14394 159 -5754
12415 14096 -4356
10258 10873 1752
10396 18706 -15790
8795 8387 -17714
7141 16139 16776
2839 2277 -15256
10752 1396 -10636
771 2585 19058
5584 1447 -6264
3939 11999 19230
5522 4242 9424
4707 13631 17696
17454 7971 -7020
2209 5458 -18150
4727 5868 17928
9555 7905 -17422
19207 15355 -13208
9323 10341 14098
10634 6784 -17148
19786 4611 17644
869 8258 -7178
800 16804 -10030
10503 12362 -14784
5922 9040 -5198
15937 10012 2694
6919 7091 -5704
11160 1405 2850
10090 11330 10562
11888 795 -12724
9411 19984 19294
6655 10371 -8996
5100 7761 11434
13965 4539 19002
6423 3815 -1182
10053 6002 -11138
11585 17089 -386
15944 5535 18528
10812 13627 -2032
2755 10095 -2230
10449 7238 -490
2415 5741 -5888
4609 16019 -8346
6862 14248 9558
11343 8731 -2498
8251 5096 996
10979 15138 4612
13991 8301 4826
17781 8451 -13062
8286 7277 -19716
14541 3355 -7130
6658 14799 11922
8380 1374 -2832
10538 8113 3312
4593 8373 -18658
15031 4252 -5494
14399 12623 12200
36 600 -3268
17192 7546 -7672
7303 16281 -12096
5809 1933 -2556
1482 89 4484
1704 2869 15880
1136 12065 -8390
11612 9672 -6348
9955 625 2420
17156 7388 -708
14868 3614 -11174
8796 9726 -9870
2085 2181 -4342
5256 4188 5432
838 998 3830
17499 12222 -6534
11468 17629 4286
16916 1028 19322
790 18424 -518
10447 4347 5438
1081 12382 -15022
2105 12403 -12502
7390 15991 -3664
6545 3317 -1310
4167 7270 -8924
7986 1925 -17596
7182 9095 1256
16255 3396 -4560
12341 4813 11092
14278 4027 -12194
4724 11686 11972
13365 11397 11736
17616 16218 -3312
604 13163 1758
16015 19372 -6314
8807 6217 -5348
14017 10180 114
19869 2536 10916
3700 15622 -5452
8835 16828 7828
7958 5899 -15146
8592 3921 -9320
17089 15536 16086
11493 12146 -9958
15828 7094 -15564
10802 2943 -1008
9027 3217 -15830
5403 11672 9552
2685 9711 -9868
7254 1354 -116
12643 1500 -7700
15866 5209 -10932
6398 17500 -19636
1916 6685 -4614
3253 1924 -10758
5248 16111 -1450
2043 7103 -16754
8116 9723 -11430
15203 19712 -5766
19084 15469 11614
15966 1104 1168
11381 2065 -11256
630 10560 -1826
2715 11945 -8014
2621 6842 2930
12249 12158 296
9766 5070 -17008
6693 18703 -66
4683 13460 -16572
12444 12415 -12572
9924 9961 -4550
6200 1667 -456
5249 14817 4436
9813 7358 -17242
10469 5086 -9050
12724 4246 -9626
13517 10282 -15858
340 17501 14470
12625 3273 -106
16006 17388 -18166
1243 9338 4368
4957 4639 2188
9260 7531 -19494
10665 12237 10780
7971 12027 -11006
19460 8184 -5018
16099 16491 -4120
8890 8106 -5174
8498 2223 -14420
3562 7125 -11558
7995 4946 -844
1754 9201 3046
4413 18098 -12908
5687 10478 -3576
8918 12482 -8632
714 2356 8038
11458 6127 -10540
17401 18826 5784
9766 16024 -10912
10755 10102 9238
288 12384 -11158
1756 15635 1336
2199 1410 -5574
11508 18135 -170
1562 9354 604
16234 1115 -11180
10263 11074 -15816
1984 14881 5896
12040 18424 -17398
7781 10702 586
5896 14020 -10198
18455 979 -8044
2014 2007 -6654
5699 19066 4136
18985 10524 1528
1587 7629 -17764
10111 7602 4644
12042 187 -14116
14497 9188 744
10838 7613 -2134
5348 2831 -2900
7596 11659 -782
6029 4117 -7352
3906 1321 16378
1225 9738 -11182
2469 15881 -9522
8107 2629 19826
154 6685 8100
6393 15249 -8412
13202 8008 3868
18727 8672 -8586
1496 17942 9944
2650 15008 -8362
5621 19483 -18546
13573 13705 -10712
18158 3375 -12712
2491 7934 17504
18983 224 -10028
463 13331 -16198
10753 6955 -19348
1596 12728 -11498
8061 4010 18960
17153 4027 13782
7491 17252 3618
5726 6269 -9732
863 6130 -8558
11667 11049 10034
15665 17011 -4550
4908 3162 -15900
3524 1215 -2802
17670 12455 -10578
6221 11680 -19926
18569 2807 -12930
3666 3092 -16236
4049 3106 -14812
3324 6444 -15860
3259 10033 -14088
19093 12891 -19956
14605 1887 -10486
10498 16028 -3108
4920 6297 18258
6974 15089 -16282
864 479 10944
15869 10408 -12366
19663 2222 -4364
1183 8177 -8360
16678 2454 18928
6847 8803 -6352
1626 12663 3982
8292 7492 -18092
1030 18249 -17250
1425 8493 -15418
162 12771 -926
17140 6888 708
5363 967 -12728
3461 2519 -2974
1106 13285 -12500
13704 640 -10056
353 3465 -19910
5306 11126 -4886
3296 1546 3760
18796 19484 -14614
17194 10605 14118
6838 556 10358
18296 10782 -10542
1556 42 -18320
5536 3279 -7812
12543 4306 -2936
2379 18590 -6730
2881 7516 7154
17173 3017 -18044
10203 4681 -4354
14232 575 5264
5140 1531 -3228
16361 4397 -14094
12809 8035 -11758
12537 7743 11066
8306 8396 -2428
2035 673 -11132
9407 1804 1614
3952 7626 -15338
4569 11808 -2938
11731 7707 -17708
16678 10942 -19710
17330 10961 94
4770 7426 18774
14614 2686 -16590
19539 7365 -8958
1044 14502 2114
12120 10716 76
5131 10388 10688
10439 7535 11802
3988 12891 4280
18232 1834 -9118
9765 5356 -6334
11786 1528 -14782
4363 6300 -5990
19530 16131 -18380
2705 19797 11836
13316 6996 -8222
14833 618 -14594
7711 15460 12270
9690 3420 -14708
8860 8445 13180
145 1370 -17974
9836 2110 136
6906 12707 -6088
7701 16479 -13012
10254 18126 -17774
646 5443 -2172
12515 18787 -19820
12197 9569 -15134
4148 6130 -5592
12862 9836 16920
17230 4611 -11382
4568 7030 16276
4932 7001 -1796
16191 3406 15608
8579 11673 -3580
8965 37 -15562
9818 5049 -18576
8646 6718 -9924
9289 2690 -1934
14672 19989 -9094
4544 165 17006
8770 17569 -18522
9968 15837 -17552
7456 3388 -11268
6296 3658 15172
9420 3832 -19950
9276 3309 -3818
3842 11721 -2426
19109 1389 8766
15721 16587 8754
3924 3438 -172
1662 11855 -19646
3706 8419 -714
2302 6612 -8958
15692 407 -13564
5144 13748 -17170
7879 5521 -9104
5651 7087 -5050
8879 11858 17166
19946 4187 6814
8288 17925 12790
2860 4320 -9220
14767 5656 -9292
672 18446 -9688
879 4500 -11414
3203 2309 -18984
1585 2289 10542
10580 14127 -10900
6941 16502 -414
5994 16157 -2758
3156 17803 -11068
10828 16288 -3976
4764 11935 14144
12833 12920 -19996
19202 13048 7012
16913 5361 -9580
17784 8064 -16830
18771 3392 -11976
14938 3789 -17798
18769 809 -4824
19774 11774 -18266
2838 456 -11604
11228 9753 1418
3864 13720 15618
10125 17905 -1986
8418 10900 3456
1878 1827 -11194
18955 15739 -4920
1019 7680 -9214
6257 10792 -4548
4237 12359 -16922
2981 17552 -9234
10442 1979 -10386
8889 5780 2530
4783 15794 -3074
17013 925 -16078
16397 14361 -5030
13095 3007 14312
7544 4605 -6752
16056 892 4500
16085 2420 -1138
11516 8786 -9932
7491 8647 -12766
947 14889 2184
3296 16834 -3554
12172 11048 -19954
2291 18166 522
4981 941 12922
9443 12245 -12608
14229 8373 -12200
3650 6703 -10344
14731 8941 -10954
1942 2710 -3224
6013 788 -13042
8073 19220 -18526
3555 8814 2862
16000 7997 12822
17008 16917 -19596
6128 1245 -8722
6629 10699 -2134
18596 16884 4152
4729 5413 13206
9591 17403 9928
11695 10298 -17916
10540 19245 4928
8222 10815 1720
1989 13770 9498
9297 8091 -9952
3252 321 7480
19713 6835 -3368
5489 7796 -6904
2664 5858 -18914
5081 5580 -17186
4436 7670 -676
2863 9166 12926
9055 6598 11544
19331 1861 -3400
18493 12041 1298
3644 4237 6164
7619 10667 926
8816 12610 4084
12619 18413 1760
8108 11306 17694
4806 1452 7392
9571 3500 -7246
10456 6535 -17978
1587 6102 -19832
14423 7883 -15374
5932 6079 5164
16000 1616 -7284
17843 7807 -4182
415 4765 -10940
10072 9317 -5884
13281 2272 514
2757 8740 -5786
9311 6257 -15214
10971 1587 3486
4468 3802 176
4298 6582 -15496
7977 11457 -11230
19293 11716 19256
12394 19291 -12458
5107 12912 8664
509 3292 -8646
4227 5205 -5818
19691 9183 -6238
270 12632 3208
17318 114 3226
5374 6849 10304
2827 12915 8674
12788 7255 10354
851 19968 -18832
377 9246 12040
15406 8162 -16510
9745 12341 4864
4058 10494 4308
16094 3513 17076
2398 12505 -19322
11251 2073 -12306
10219 1479 -5566
3145 10446 1200
3498 797 -19718
7925 7840 -19602
9009 3656 -13114
10992 15690 -11052
3458 4079 -17424
4973 18300 -9872
4654 9067 -6140
3826 2852 -8650
4177 734 13240
3893 15023 -8120
19959 2118 6056
17376 17945 906
7035 15565 -18348
15670 16712 -18240
12526 8959 920
7977 4200 2548
5783 15781 1012
4987 9501 9136
8192 3714 -16518
1705 11694 -3740
17230 7614 -6804
17139 9546 -10476
767 6854 -3104
3828 2530 -17552
8692 11114 17774
5960 11114 -7510
18464 11643 -2362
19326 4948 -10912
1863 15970 -17090
3360 17908 9796
3063 10584 -12150
558 6914 -13740
9479 10803 10798
8785 7000 11302
17554 10980 7776
11908 17852 -16680
7829 3243 -11436
17065 9881 12948
19380 5570 -4722
5352 11641 -712
5775 7072 -15934
1694 8141 15418
8595 1826 -17310
9204 6777 -8422
2250 7778 -15680
11571 15060 4208
1716 14597 6376
7716 5756 -19944
6929 4930 -13308
3787 15094 -7772
2278 3568 1066
220 1891 10646
9246 19778 -17822
3698 3616 -2200
7357 12532 13406
11962 10982 -8808
8759 8541 -10478
8425 17184 -13170
8752 14524 36
12093 8374 -8862
9899 3897 -18404
7634 7327 -4550
12372 17688 -898
13557 4980 6982
6861 2988 -4522
3260 19199 3140
411 8233 -5948
9452 4946 3842
1680 14636 -13928
17745 11925 -954
7976 11342 -802
8724 1929 -8298
10628 12667 -9604
7357 3241 18300
6452 19149 3200
1491 18811 -3172
8753 12210 1484
19553 1228 5528
2215 6213 -8102
4524 18442 -17692
19217 12940 4224
12184 7449 -8744
463 10963 794
2287 3000 -18428
7443 4438 -7564
10120 4912 13794
9605 6946 -16422
5570 2337 18870
10990 7797 -19616
10317 13903 2460
4865 4952 -6562
13297 1654 3056
10274 183 -878
18913 3154 3648
8698 19550 16780
16148 3356 248
14901 318 -12190
6768 12140 -15626
1155 3728 17310
6335 4485 11200
19629 11754 15602
18075 15815 5874
10531 3461 -18780
4047 7981 -9090
13674 16838 1176
4811 9721 12032
15315 13312 1394
5331 1943 -14784
19974 2069 -19096
17016 18664 -282
2686 18551 -1826
10872 18345 1926
3376 3901 1626
8889 5632 -15624
9012 9539 9980
13657 11718 11230
19717 11859 8144
13645 2449 -658
13168 7081 -17658
9606 11852 -9228
944 11240 -18938
778 12879 -6654
7659 2792 -5404
2387 11021 -6796
11620 116 -306
11622 13925 4
17120 8899 13668
4804 9969 -3434
8568 13538 -13052
5156 9017 -11600
12579 16432 12896
13047 4044 -1982
4546 10556 -9460
14241 12039 8586
7196 513 10062
11121 14972 -18208
18328 3288 -14522
8415 1399 -12490
6184 8658 -3032
8525 7975 19378
10371 5794 8770
944 9920 9550
10161 2324 -12058
14466 5235 -16082
17540 2443 18112
19654 2497 -5322
1709 8057 -11396
2323 12037 -17324
3916 3697 2982
9402 8189 -2626
10997 13120 -18866
5949 12926 -954
1591 12848 -9930
17691 6744 -12684
5512 4098 -10456
19355 2771 -9182
19753 1448 -8510
5304 14512 -12168
13855 7198 -6476
157 9196 18836
9164 6704 6636
18545 6813 -8610
11154 10433 16508
618 16800 -11142
7561 3932 2716
7546 1260 -2114
3723 9817 -14576
13906 2831 -3922
7109 10730 180
12337 9721 -16050
19274 9116 -6638
3257 10465 -2714
959 10450 15242
18978 14956 -17732
17274 9747 2590
14400 861 6926
17255 4814 -15900
18968 11926 -11966
8785 5932 -17460
7894 8012 18584
9984 18536 -13078
12102 11499 834
16109 6752 18980
638 944 3932
7770 1603 -19490
437 1922 -5026
10477 6209 -874
10273 16031 -15256
12586 6091 1116
17392 9963 14924
15183 17415 -12304
12535 7397 -1950
13707 17184 2888
3022 9073 -12
873 9404 -6882
18929 15993 7894
6361 8928 -12082
4415 16016 -19970
11466 14662 -5416
6058 2398 -15338
7179 11188 146
13946 16089 19960
18481 16500 17760
9487 1341 16522
8241 12798 3378
5573 3908 -17182
3950 7308 -2118
19467 3425 10900
2704 16736 -9866
10054 3285 4170
16921 16628 -4130
12215 7604 -17512
5050 4655 -3962
19881 13619 -14104
12656 5631 5882
2178 13273 -13022
4497 5338 -8848
2674 325 2930
3829 2650 13472
8989 8298 -4234
10749 18421 8078
10437 2734 6768
10215 4022 -10426
9193 1842 -7956
18316 10122 11850
16179 9291 -7458
3871 14904 -3014
100 462 -19834
6890 12289 -5166
16391 19018 10040
16303 5375 -18666
5392 12032 14216
8641 9998 2516
12113 15693 -11998
9687 10516 -16764
7718 3668 -18928
9747 6523 -16406
13073 11552 -2770
1256 11928 8230
2619 343 496
18710 15544 -7580
12104 18040 -3326
2012 17034 -12512
3217 6068 6470
1104 32 11632
17691 13197 -15708
4853 7223 -15044
3233 10962 19980
1428 14124 -8038
8489 10425 -16032
3286 6535 -8008
2662 4363 11070
8667 1437 10310
6575 7154 9940
13663 7460 -16474
14316 10094 -7706
16518 9509 15328
17112 7524 17868
9806 6381 -2820
634 7415 -6276
10580 4919 -14948
7370 4850 1888
8018 2716 8122
19422 1006 1652
703 13039 -4380
7214 4751 -11136
7985 17684 -13398
4535 9502 -2074
9564 15012 6880
11711 4537 1556
14781 334 -9898
12040 2710 5076
7507 6349 -16098
11350 7606 -10410
9171 3621 2176
7675 18725 -14386
5628 1265 15572
8373 6289 14370
16981 6655 1374
13394 11506 -568
91 9651 18574
16242 16182 17942
8552 16095 -5558
17301 7387 17454
7325 6140 -15818
5830 14957 -7898
304 9672 7042
9017 7855 -13954
19251 1578 -19204
886 10388 -1358
12011 10100 12056
6509 15822 5156
10959 12953 4118
6368 11041 -12766
16460 7253 -2700
12586 7807 -16948
2749 12273 7928
2825 13270 -6210
4922 7946 -508
1531 7570 2620
7268 5808 518
4070 12453 -19392
1256 12454 -17994
9001 9143 -15762
8734 344 -2344
9993 17191 18680
19957 3517 2930
7372 12031 -18588
1588 12955 -2910
12654 823 -9964
11687 6096 -3186
11951 19922 17608
12190 1381 -2180
5798 8117 10888
3012 1914 -15672
1154 593 8118
17657 9386 18958
6115 8056 13080
3282 1339 19654
18566 5582 -18138
2090 9713 -7538
9604 1684 316
7504 15748 316
8083 8552 2996
11507 1153 -15052
7522 8685 -15632
11541 2755 -10122
6253 5676 15806
18803 7434 13564
2331 6746 -14260
1255 18064 2820
4680 8360 -8444
16227 3382 -9780
5087 11230 3684
4703 16953 13434
8312 9170 -15570
6671 3729 12412
6201 5794 -9832
17915 10667 2020
4637 6969 14968
11282 18326 18316
5311 14904 -17110
4452 3681 9466
2350 12138 5944
6837 4859 -8878
5756 5004 19298
17570 5233 -14492
8549 12806 4808
9929 10495 -17668
4925 7468 -11750
15804 14644 -2588
10699 4642 16396
5251 1234 -10876
3034 2842 -1186
13589 12597 -1128
5189 8544 7702
2264 3973 9958
2855 10127 1594
1540 1725 -7700
11486 5996 -17988
4761 4339 -2144
12315 17235 18142
6963 15454 -13224
9430 6266 15210
18065 1903 5664
7584 19738 17776
282 9534 6992
17867 14302 14662
17470 14320 -7424
12412 13441 -6940
3037 16902 -7930
7878 8428 -17290
12492 10297 -14654
10078 11274 -14380
10819 4586 -3818
10504 529 -2804
12248 10637 -12286
13452 6645 -12010
1273 6875 -19956
19894 5682 -4334
2660 11250 -14030
17644 4383 19612
3911 10507 -1588
10082 6692 -12384
11894 13381 -13682
753 12480 -7164
5713 2271 -15012
2043 11564 -642
14294 12798 -16612
16744 8511 -9554
2034 10939 -4792
17975 440 -11532
12232 3812 -13738
8098 12281 -7262
8468 19882 -12562
10079 2973 -18462
8198 12467 14962
16739 1491 -14572
17682 16333 -18200
795 12499 10786
227 4940 19280
2572 8411 -13168
11762 11942 14982
11583 8591 -19310
4028 11486 -17294
4742 10086 -19072
11933 11652 -752
8181 17760 -2252
12351 15347 -19654
14959 13862 15636
5154 5552 -4114
10604 6476 -2620
8161 19293 -11106
12009 14635 -4210
6475 11352 2800
1 18763 -10732
18747 12865 14176
18304 3004 480
14077 17051 -14794
10637 6212 -6630
19685 8708 -15484
5915 5462 -13056
12502 374 -16388
3406 18823 3286
6390 11061 974
19271 5988 -9338
1410 3470 -902
1465 5772 -9572
10299 10330 -6412
15616 10175 15808
4959 10527 -15438
9920 938 13366
5910 1727 -11748
13824 7240 -17336
2515 17859 -12520
12479 19707 16890
4025 8667 7822
17740 10597 290
1770 7526 8536
7917 1870 -19170
4643 1700 -15956
17852 8505 -19700
2228 19560 4734
14945 9740 -10352
1466 10262 -5902
8107 11463 -7968
735 2804 3836
4513 15408 -16812
11018 5247 5092
12735 6152 -6304
12561 1568 6426
17970 6689 -9702
18781 9711 8910
12218 1706 -4132
1417 12581 -7756
4092 5714 -6254
8124 7997 -1226
11394 7948 -18628
3414 8994 10858
11741 14781 -4154
9062 444 -13482
19629 13048 4706
15768 1258 -1506
3921 18779 -6798
10127 4127 6422
10352 5793 -6722
2935 9078 10026
6144 5159 11232
7802 18313 11012
17098 7773 -346
19905 10824 1502
872 5652 -15622
7866 7418 13958
18443 676 8366
1960 17852 -12438
14955 8396 -15900
16934 18422 -13604
9450 12746 4672
3995 17526 14692
6298 7626 -10860
251 3863 528
4295 16378 -7240
17028 12807 13752
2659 27 -13968
5719 5206 -12820
8157 8149 948
1154 2241 -18716
11577 9361 -8166
10195 13685 -1282
18763 1545 -6284
3016 18812 -18898
2371 2952 -12912
15744 4688 -19450
9316 5845 -5458
11062 11945 8860
9480 16093 -14204
11430 17669 -8082
6773 15420 17570
11575 10678 3438
8696 15628 -7822
2777 1056 -13434
8727 8456 -12866
5979 8898 12114
669 18345 5496
1565 9067 16442
1781 7041 5608
17493 1732 -3230
5987 8193 -4624
17181 501 -8818
6367 1006 -8864
6392 4150 -7276
12196 10098 -10556
934 8129 9742
5807 9164 -2668
19790 5639 -7364
3865 13321 -9462
2889 7058 -8242
282 2029 -16392
9690 16608 -7048
8797 12763 -3620
10001 9429 -5542
9947 11187 -15138
3503 406 -5900
2595 16070 4138
4322 14639 -8010
17564 16174 3280
10160 3665 2972
4667 17705 -17572
1939 2888 8530
10278 8498 -9564
14506 1788 17808
2336 161 -8800
4621 7224 1666
3659 11356 -2536
17999 10605 -3612
12325 11174 -2934
997 10992 3512
7185 19751 -8340
16724 4854 6358
9472 7718 15588
5847 2923 15672
7072 8938 1008
3662 5581 -19264
4279 5024 -12270
19427 5237 -8940
14991 6549 -13530
2376 56 -7720
1290 12036 5720
6477 16827 -9886
4107 1836 -8104
6761 18908 -8476
2848 2601 5384
7888 2613 -9164
2249 2307 -3096
4612 6375 1264
7733 5519 -8762
8098 13266 4500
7918 3514 -4488
5215 2844 -4274
17251 4886 -918
15022 6402 180
12956 5659 -10446
1481 10494 -7486
4272 7871 -19366
4494 11304 -3606
18046 5363 -13528
1270 13536 6852
10552 6275 2206
13288 10849 -12690
9943 4750 -5526
3997 11532 7286
9084 18385 14322
14828 10735 5512
4904 1110 4960
11604 15154 -5356
8778 12747 -16594
19499 1227 5070
9376 13293 -12450
2762 15634 -12228
2414 1699 -17972
921 7465 -13990
3656 6856 9410
3238 1100 -5612
8825 2002 16016
10534 13933 3906
8942 1359 -10810
2526 7208 10960
880 8282 -16686
10330 5998 -8750
10737 10291 13530
8443 6337 -7006
11928 15357 7520
17616 15369 -12478
19469 6864 -8000
11467 18934 -3788
17792 702 -2030
116 10250 -19666
7625 4004 -8934
6695 4020 -10846
6990 6071 19812
2976 19605 16718
1312 1774 -18606
103 5661 -11278
12877 17210 4168
2580 11450 19248
12780 6730 -10786
11619 6013 1348
8855 1132 584
9556 9914 -4116
2456 13484 -18196
13675 2606 17944
6335 6207 -3692
4455 8852 12708
11911 4859 -8088
8361 3881 9916
449 1615 -7710
14797 11861 -1232
4800 15825 -8476
8182 5743 -10236
16750 15872 -18306
6368 9662 -12770
19805 10800 -15900
17659 12504 -11768
10322 8822 4204
6831 3031 5806
4915 7559 -16838
19881 7132 -16552
19495 6197 -18442
10231 5172 -4036
11556 10982 -5214
3547 2655 -14544
15743 18362 -17586
12004 8774 -19258
19586 13279 -6382
7819 3490 186
3916 1274 728
3047 9508 -15074
7046 17950 17694
17938 1734 -19138
11828 8954 -2990
8184 5659 -19040
9234 6698 9854
18756 10787 -14626
7155 3983 19488
3565 6100 1906
8674 9948 1786
363 2218 8522
8368 10231 2926
7708 10948 13870
6105 1439 2036
3428 4407 -6466
12293 3704 19644
7054 16313 -8598
